words,answer,commonness,familiar,recognized
slype,0,0.09,0.15,0.13
smack,1,0.915,2.61,0.96
smaik,0,0.1,0.21,0.13
small,1,0.995,3.0,0.99
smalm,0,0.117,0.16,0.18
smalt,0,0.113,0.2,0.16
smarm,0,0.543,1.52,0.58
smart,1,0.98,2.94,0.98
smash,1,0.963,2.84,0.98
smaze,0,0.135,0.33,0.16
smear,1,0.878,2.45,0.94
smeek,0,0.247,0.67,0.27
smeer,0,0.157,0.49,0.15
smell,1,0.995,3.0,0.99
smelt,1,0.743,1.82,0.88
smeth,0,0.285,0.87,0.28
smich,0,0.285,0.75,0.32
smile,1,0.995,3.0,0.99
smily,0,0.387,0.97,0.45
smirk,1,0.792,1.99,0.92
smite,1,0.658,1.55,0.8
smith,1,0.927,2.65,0.97
smock,1,0.605,1.5,0.71
smoke,1,0.993,2.99,0.99
smoky,1,0.932,2.68,0.97
smolt,0,0.137,0.31,0.17
smook,0,0.09,0.15,0.13
smoot,0,0.237,0.58,0.28
smore,0,0.763,1.91,0.89
smote,1,0.075,0.15,0.1
smous,0,0.137,0.31,0.17
smout,0,0.107,0.16,0.16
smurr,0,0.367,0.88,0.44
smuse,0,0.242,0.73,0.24
smush,0,0.737,1.93,0.83
smyth,0,0.682,1.66,0.81
snack,1,0.99,3.0,0.98
snaff,0,0.193,0.53,0.21
snafu,0,0.613,1.61,0.69
snail,1,0.877,2.35,0.97
snake,1,0.952,2.77,0.98
snaky,1,0.752,1.96,0.85
snape,0,0.792,2.02,0.91
snaps,0,0.905,2.64,0.93
snapy,0,0.7,1.95,0.75
snare,1,0.765,1.92,0.89
snark,0,0.55,1.32,0.66
snarl,1,0.75,1.92,0.86
snary,0,0.122,0.28,0.15
snath,0,0.117,0.19,0.17
snead,0,0.278,0.62,0.35
sneak,1,0.937,2.71,0.97
sneap,0,0.168,0.35,0.22
sneck,0,0.358,0.74,0.47
sneer,1,0.765,1.89,0.9
snell,0,0.385,0.9,0.47
snerp,0,0.068,0.14,0.09
snick,0,0.74,1.89,0.85
snide,1,0.627,1.63,0.71
sniff,1,0.953,2.81,0.97
snift,0,0.137,0.28,0.18
snipe,1,0.653,1.55,0.79
snipy,0,0.338,0.8,0.41
snirl,0,0.123,0.23,0.17
snirt,0,0.068,0.11,0.1
snite,0,0.175,0.39,0.22
snivy,0,0.493,1.28,0.56
snock,0,0.112,0.25,0.14
snoek,0,0.142,0.28,0.19
snoga,0,0.22,0.6,0.24
snoke,0,0.493,1.31,0.55
snood,0,0.398,1.1,0.43
snook,0,0.538,1.37,0.62
snoop,1,0.893,2.48,0.96
snoot,0,0.708,1.73,0.84
snore,1,0.973,2.9,0.98
snork,0,0.59,1.41,0.71
snort,1,0.868,2.36,0.95
snout,1,0.777,1.9,0.92
snowk,0,0.1,0.18,0.14
snowl,0,0.21,0.48,0.26
snowy,1,0.902,2.5,0.97
snuck,1,0.833,2.21,0.93
snuff,1,0.64,1.41,0.81
snurl,0,0.097,0.16,0.14
snurp,0,0.105,0.18,0.15
snurt,0,0.115,0.21,0.16
soaky,0,0.673,1.82,0.74
soapy,1,0.822,2.14,0.93
soary,0,0.625,1.5,0.75
sobby,0,0.648,1.55,0.78
sober,1,0.923,2.6,0.98
socht,0,0.097,0.25,0.11
socii,0,0.085,0.12,0.13
socky,0,0.26,0.66,0.3
socle,0,0.212,0.58,0.23
soddy,0,0.262,0.73,0.28
sodic,0,0.247,0.64,0.28
sodio,0,0.222,0.64,0.23
sofar,0,0.72,2.01,0.77
softa,0,0.378,0.77,0.5
softy,0,0.458,1.22,0.51
soger,0,0.108,0.23,0.14
soget,0,0.127,0.28,0.16
soggy,1,0.865,2.31,0.96
soily,0,0.227,0.61,0.25
soken,0,0.08,0.15,0.11
solan,0,0.125,0.27,0.16
solar,1,0.93,2.67,0.97
solay,0,0.13,0.27,0.17
soldi,0,0.338,0.95,0.36
soldo,0,0.48,1.53,0.45
solea,0,0.2,0.48,0.24
solen,0,0.23,0.48,0.3
soler,0,0.195,0.51,0.22
soles,0,0.928,2.69,0.96
solid,1,0.975,2.91,0.98
solio,0,0.102,0.22,0.13
solod,0,0.183,0.41,0.23
solon,0,0.287,0.73,0.33
solum,0,0.113,0.17,0.17
solve,1,0.977,2.92,0.98
somal,0,0.3,0.66,0.38
somma,0,0.227,0.64,0.24
sonar,1,0.655,1.62,0.77
songy,0,0.387,1.09,0.41
sonic,1,0.83,2.13,0.95
sonly,0,0.188,0.5,0.21
sonny,0,0.808,2.09,0.92
sonsy,0,0.198,0.41,0.26
sooky,0,0.335,0.84,0.39
soord,0,0.098,0.23,0.12
sooth,1,0.743,1.79,0.89
sooty,1,0.778,2.0,0.89
sophy,0,0.783,2.0,0.9
sopor,0,0.098,0.2,0.13
soppy,0,0.723,1.85,0.83
soral,0,0.098,0.17,0.14
sorda,0,0.182,0.55,0.18
soree,0,0.22,0.51,0.27
sorgo,0,0.242,0.7,0.25
sorra,0,0.118,0.26,0.15
sorry,1,0.993,2.99,0.99
sorty,0,0.198,0.5,0.23
sorus,0,0.092,0.13,0.14
sorva,0,0.078,0.14,0.11
sotie,0,0.075,0.12,0.11
sotol,0,0.15,0.42,0.16
sough,0,0.182,0.37,0.24
souly,0,0.11,0.18,0.16
sound,1,0.995,3.0,0.99
soupy,0,0.77,1.89,0.91
soury,0,0.145,0.33,0.18
souse,0,0.302,0.76,0.35
south,1,0.992,2.98,0.99
sowan,0,0.148,0.29,0.2
sowar,0,0.107,0.22,0.14
sowel,0,0.198,0.35,0.28
sower,1,0.685,1.62,0.83
sowle,0,0.117,0.19,0.17
sowse,0,0.165,0.24,0.25
sowte,0,0.128,0.35,0.14
sozin,0,0.068,0.08,0.11
space,1,0.992,2.98,0.99
spack,0,0.545,1.53,0.58
spacy,0,0.457,1.24,0.5
spade,1,0.87,2.31,0.97
spaer,0,0.168,0.35,0.22
spahi,0,0.097,0.22,0.12
spaid,0,0.395,0.99,0.46
spaik,0,0.633,1.58,0.74
spald,0,0.28,0.57,0.37
spale,0,0.408,1.16,0.43
spall,0,0.202,0.52,0.23
spalt,0,0.178,0.44,0.21
spane,0,0.538,1.22,0.67
spang,0,0.443,1.16,0.5
spank,1,0.883,2.39,0.97
spann,0,0.863,2.39,0.93
spare,1,0.947,2.77,0.97
spark,1,0.955,2.79,0.98
sparm,0,0.135,0.27,0.18
spart,0,0.253,0.62,0.3
spary,0,0.365,1.08,0.37
spasm,1,0.765,1.98,0.87
spate,0,0.313,0.92,0.32
spave,0,0.168,0.44,0.19
spawn,1,0.773,1.97,0.89
speak,1,0.995,3.0,0.99
speal,0,0.183,0.35,0.25
spean,0,0.153,0.29,0.21
spear,1,0.807,1.96,0.96
spece,0,0.165,0.39,0.2
speck,1,0.832,2.2,0.93
specs,0,0.81,2.34,0.84
speed,1,0.995,3.0,0.99
speel,0,0.207,0.52,0.24
speen,0,0.408,0.83,0.54
speer,0,0.442,1.18,0.49
spelk,0,0.642,1.66,0.73
spell,1,0.947,2.74,0.98
spelt,1,0.353,0.95,0.39
spend,1,0.99,3.0,0.98
spent,1,0.975,2.91,0.98
speos,0,0.065,0.09,0.1
sperm,1,0.82,2.07,0.95
spewy,0,0.233,0.53,0.29
spica,0,0.312,0.88,0.33
spice,1,0.985,2.97,0.98
spick,0,0.492,1.33,0.54
spicy,1,0.985,2.97,0.98
spied,1,0.837,2.14,0.96
spiel,1,0.222,0.49,0.28
spier,0,0.433,1.16,0.48
spiff,0,0.345,1.05,0.34
spike,1,0.915,2.58,0.97
spiky,1,0.843,2.27,0.93
spile,0,0.358,0.86,0.43
spill,1,0.98,2.94,0.98
spilt,1,0.733,1.91,0.83
spina,0,0.263,0.8,0.26
spine,1,0.92,2.61,0.97
spink,0,0.238,0.59,0.28
spiny,1,0.718,1.82,0.83
spire,1,0.718,1.73,0.86
spiro,0,0.335,1.02,0.33
spirt,0,0.348,0.77,0.44
spiry,0,0.16,0.27,0.23
spise,0,0.148,0.35,0.18
spite,1,0.865,2.31,0.96
spitz,0,0.5,1.32,0.56
splat,1,0.767,1.99,0.87
splay,0,0.455,1.26,0.49
splet,0,0.15,0.33,0.19
split,1,0.987,2.98,0.98
spode,0,0.277,0.7,0.32
spoil,1,0.95,2.79,0.97
spoke,1,0.923,2.63,0.97
spoky,0,0.6,1.44,0.72
spole,0,0.6,1.47,0.71
spong,0,0.305,0.78,0.35
spoof,1,0.772,1.99,0.88
spook,1,0.845,2.19,0.96
spool,1,0.745,1.83,0.88
spoom,0,0.118,0.2,0.17
spoon,1,0.995,3.0,0.99
spoor,0,0.333,1.04,0.32
spoot,0,0.223,0.53,0.27
spore,1,0.668,1.55,0.82
sport,1,0.98,2.94,0.98
sposh,0,0.128,0.29,0.16
spout,1,0.807,2.08,0.92
sprad,0,0.4,1.02,0.46
sprag,0,0.245,0.57,0.3
sprat,0,0.322,0.91,0.34
spray,1,0.982,2.95,0.98
spree,1,0.787,2.02,0.9
spret,0,0.193,0.56,0.2
sprew,0,0.202,0.4,0.27
sprig,1,0.598,1.49,0.7
sprit,0,0.697,1.75,0.81
sprod,0,0.137,0.34,0.16
sprue,0,0.193,0.44,0.24
sprug,0,0.267,0.67,0.31
spuke,0,0.172,0.4,0.21
spume,0,0.173,0.44,0.2
spumy,0,0.64,1.68,0.72
spung,0,0.392,0.82,0.51
spunk,1,0.733,1.82,0.86
spurl,0,0.203,0.44,0.26
spurn,1,0.58,1.53,0.65
spurt,1,0.778,2.0,0.89
sputa,0,0.24,0.66,0.26
spyer,0,0.19,0.42,0.24
squab,0,0.335,0.96,0.35
squad,1,0.88,2.43,0.95
squam,0,0.123,0.2,0.18
squat,1,0.872,2.35,0.96
squaw,0,0.457,1.09,0.55
squib,1,0.467,1.24,0.52
squid,0,0.748,1.85,0.88
squin,0,0.103,0.14,0.16
squit,0,0.622,1.63,0.7
sruti,0,0.052,0.04,0.09
staab,0,0.108,0.23,0.14
stack,1,0.958,2.84,0.97
stade,0,0.34,0.93,0.37
staff,1,0.98,2.94,0.98
stage,1,0.962,2.83,0.98
stagy,0,0.168,0.32,0.23
staia,0,0.068,0.08,0.11
staid,1,0.472,1.18,0.55
stain,1,0.96,2.85,0.97
staio,0,0.075,0.12,0.11
stair,1,0.985,2.97,0.98
stake,1,0.918,2.6,0.97
stale,1,0.942,2.74,0.97
stalk,1,0.882,2.41,0.96
stall,1,0.893,2.48,0.96
stamp,1,0.975,2.91,0.98
stand,1,0.995,3.0,0.99
stane,0,0.39,0.81,0.51
stang,0,0.282,0.7,0.33
stank,1,0.877,2.44,0.94
stare,1,0.947,2.77,0.97
stark,1,0.8,2.04,0.92
starn,0,0.243,0.41,0.35
start,1,0.995,3.0,0.99
stary,0,0.588,1.31,0.74
stash,1,0.808,2.12,0.91
state,1,0.985,2.97,0.98
stauk,0,0.09,0.21,0.11
staun,0,0.318,0.83,0.36
staup,0,0.153,0.38,0.18
stave,1,0.662,1.54,0.81
stawn,0,0.127,0.22,0.18
stays,0,0.965,2.91,0.96
stchi,0,0.077,0.16,0.1
stead,1,0.475,1.11,0.58
steak,1,0.955,2.79,0.98
steal,1,0.98,2.94,0.98
steam,1,0.785,2.01,0.9
stean,0,0.123,0.23,0.17
stech,0,0.108,0.2,0.15
steed,1,0.598,1.28,0.77
steek,0,0.452,1.3,0.47
steel,1,0.965,2.85,0.98
steen,0,0.282,0.67,0.34
steep,1,0.928,2.66,0.97
steer,1,0.918,2.63,0.96
steid,0,0.088,0.17,0.12
stein,1,0.598,1.7,0.63
stela,0,0.235,0.6,0.27
stele,0,0.157,0.37,0.19
stell,0,0.443,1.04,0.54
stema,0,0.158,0.53,0.14
stend,0,0.36,1.02,0.38
steng,0,0.127,0.28,0.16
steno,0,0.39,1.14,0.4
stent,0,0.468,1.25,0.52
stept,0,0.182,0.4,0.23
stere,0,0.442,1.09,0.52
steri,0,0.277,0.67,0.33
sterk,0,0.192,0.49,0.22
stern,1,0.795,2.01,0.92
stero,0,0.245,0.63,0.28
stert,0,0.143,0.35,0.17
stewy,0,0.377,0.97,0.43
stich,0,0.9,2.52,0.96
stick,1,0.995,3.0,0.99
stife,0,0.368,0.86,0.45
stiff,1,0.97,2.91,0.97
stile,0,0.627,1.57,0.73
still,1,0.988,2.99,0.98
stilt,1,0.72,1.77,0.85
stime,0,0.182,0.4,0.23
stimy,0,0.19,0.45,0.23
stine,0,0.182,0.37,0.24
sting,1,0.91,2.55,0.97
stink,1,0.983,2.96,0.98
stint,1,0.633,1.7,0.7
stion,0,0.185,0.54,0.19
stipe,0,0.172,0.46,0.19
stirk,0,0.152,0.37,0.18
stirp,0,0.552,1.39,0.64
stite,0,0.197,0.46,0.24
stith,0,0.267,0.67,0.31
stive,0,0.195,0.48,0.23
stivy,0,0.18,0.3,0.26
stoat,0,0.365,1.02,0.39
stock,1,0.975,2.91,0.98
stoep,0,0.075,0.15,0.1
stoff,0,0.195,0.48,0.23
stoga,0,0.107,0.22,0.14
stogy,0,0.428,1.1,0.49
stoic,1,0.642,1.72,0.71
stoke,1,0.838,2.24,0.93
stola,0,0.153,0.38,0.18
stole,1,0.952,2.8,0.97
stoma,0,0.25,0.69,0.27
stomp,1,0.885,2.4,0.97
stond,0,0.158,0.32,0.21
stone,1,0.993,2.99,0.99
stong,0,0.243,0.62,0.28
stony,1,0.873,2.36,0.96
stood,1,0.977,2.92,0.98
stoof,0,0.262,0.7,0.29
stook,0,0.237,0.49,0.31
stool,1,0.923,2.63,0.97
stoon,0,0.115,0.21,0.16
stoop,1,0.778,2.03,0.88
stoot,0,0.188,0.38,0.25
stopa,0,0.153,0.35,0.19
stope,0,0.215,0.45,0.28
store,1,0.99,3.0,0.98
stork,1,0.812,2.02,0.95
storm,1,0.983,2.93,0.99
story,1,0.995,3.0,0.99
stosh,0,0.137,0.28,0.18
stoss,0,0.107,0.22,0.14
stoun,0,0.178,0.38,0.23
stoup,0,0.398,1.13,0.42
stour,0,0.205,0.45,0.26
stout,1,0.802,1.99,0.94
stove,1,0.987,2.98,0.98
strad,0,0.21,0.48,0.26
strae,0,0.108,0.2,0.15
strag,0,0.398,0.86,0.51
stram,0,0.223,0.53,0.27
strap,1,0.935,2.7,0.97
straw,1,0.967,2.86,0.98
stray,1,0.808,2.09,0.92
stree,0,0.277,0.7,0.32
stret,0,0.52,1.5,0.54
strew,0,0.723,1.88,0.82
strey,0,0.135,0.24,0.19
stria,0,0.333,1.01,0.33
strid,0,0.245,0.66,0.27
strig,0,0.13,0.24,0.18
strip,1,0.97,2.88,0.98
strit,0,0.202,0.52,0.23
strix,0,0.203,0.47,0.25
strom,0,0.412,1.12,0.45
strop,0,0.277,0.7,0.32
strow,0,0.49,1.2,0.58
stroy,0,0.473,1.19,0.55
strub,0,0.093,0.17,0.13
strue,0,0.285,0.6,0.37
strum,0,0.753,1.94,0.86
strut,1,0.767,1.96,0.88
struv,0,0.098,0.17,0.14
stubb,0,0.577,1.42,0.68
stuck,1,0.988,2.99,0.98
stude,0,0.2,0.39,0.27
study,1,0.995,3.0,0.99
stuff,1,0.988,2.99,0.98
stull,0,0.187,0.49,0.21
stulm,0,0.077,0.13,0.11
stump,1,0.858,2.27,0.96
stung,1,0.89,2.46,0.96
stunk,1,0.952,2.8,0.97
stunt,1,0.865,2.31,0.96
stupa,0,0.265,0.84,0.25
stupe,0,0.17,0.36,0.22
stupp,0,0.212,0.52,0.25
sturk,0,0.148,0.29,0.2
sturt,0,0.402,1.12,0.43
stuss,0,0.26,0.66,0.3
styan,0,0.123,0.23,0.17
styca,0,0.088,0.17,0.12
style,1,0.982,2.95,0.98
stylo,0,0.495,1.38,0.53
suade,0,0.267,0.73,0.29
suant,0,0.09,0.21,0.11
suave,1,0.31,0.81,0.35
subah,0,0.115,0.21,0.16
suber,0,0.15,0.33,0.19
succi,0,0.157,0.34,0.2
sucre,0,0.315,0.81,0.36
suddy,0,0.247,0.52,0.32
sudsy,0,0.77,1.98,0.88
suede,0,0.762,1.96,0.87
suety,0,0.402,1.06,0.45
sugan,0,0.075,0.12,0.11
sugar,1,0.995,3.0,0.99
suine,0,0.143,0.29,0.19
suing,1,0.84,2.19,0.95
suint,0,0.147,0.34,0.18
suist,0,0.108,0.23,0.14
suite,1,0.85,2.25,0.95
suity,0,0.82,2.16,0.92
sulea,0,0.085,0.15,0.12
sulfa,0,0.438,1.13,0.5
sulka,0,0.068,0.11,0.1
sulky,1,0.728,1.7,0.89
sulla,0,0.29,0.75,0.33
sully,1,0.673,1.64,0.8
sumac,1,0.337,1.03,0.33
sumph,0,0.158,0.32,0.21
sunny,1,0.988,2.99,0.98
sunup,0,0.713,1.82,0.82
super,1,0.97,2.88,0.98
surah,0,0.25,0.84,0.22
sural,0,0.178,0.41,0.22
surat,0,0.53,1.59,0.53
surer,1,0.713,1.85,0.81
sures,0,0.345,1.08,0.33
surfy,0,0.85,2.31,0.93
surge,1,0.832,2.2,0.93
surgy,0,0.85,2.22,0.96
surly,1,0.662,1.69,0.76
surma,0,0.098,0.2,0.13
surra,0,0.09,0.15,0.13
sushi,1,0.837,2.17,0.95
sutor,0,0.1,0.18,0.14
sutra,0,0.275,0.84,0.27
swack,0,0.218,0.5,0.27
swage,0,0.177,0.4,0.22
swain,0,0.45,1.11,0.53
swale,0,0.262,0.67,0.3
swami,1,0.487,1.3,0.54
swamp,1,0.838,2.15,0.96
swang,0,0.712,1.84,0.81
swank,0,0.71,1.83,0.81
swape,0,0.605,1.53,0.7
sward,0,0.46,1.02,0.58
sware,0,0.245,0.54,0.31
swarf,0,0.092,0.1,0.15
swarm,1,0.813,2.09,0.93
swart,0,0.145,0.24,0.21
swash,1,0.505,1.26,0.59
swath,1,0.382,1.09,0.4
sweal,0,0.232,0.52,0.29
swear,1,0.98,2.94,0.98
sweat,1,0.988,2.99,0.98
sweep,1,0.968,2.9,0.97
sweer,0,0.347,0.67,0.47
sweet,1,0.995,3.0,0.99
swego,0,0.072,0.1,0.11
swell,1,0.888,2.45,0.96
swelp,0,0.122,0.22,0.17
swelt,0,0.57,1.62,0.6
swept,1,0.912,2.59,0.96
swerd,0,0.207,0.37,0.29
swick,0,0.152,0.28,0.21
swift,1,0.787,2.02,0.9
swile,0,0.192,0.43,0.24
swill,1,0.607,1.54,0.7
swimy,0,0.642,1.69,0.72
swine,1,0.765,1.8,0.93
swing,1,0.973,2.9,0.98
swink,0,0.353,0.95,0.39
swipe,0,0.94,2.76,0.96
swipy,0,0.205,0.6,0.21
swird,0,0.092,0.16,0.13
swire,0,0.365,1.08,0.37
swirl,1,0.848,2.24,0.95
swish,1,0.795,2.04,0.91
swiss,0,0.88,2.37,0.97
swith,0,0.45,1.17,0.51
swoon,1,0.737,1.84,0.86
swoop,1,0.747,1.93,0.85
sword,1,0.843,2.12,0.98
swore,1,0.898,2.48,0.97
sworn,1,0.837,2.2,0.94
swosh,0,0.447,1.3,0.46
swung,1,0.885,2.46,0.95
swure,0,0.063,0.14,0.08
sycee,0,0.08,0.12,0.12
sylid,0,0.063,0.11,0.09
sylph,0,0.322,0.94,0.33
sylva,0,0.195,0.42,0.25
synch,0,0.592,1.48,0.69
synod,1,0.273,0.89,0.25
syrma,0,0.108,0.23,0.14
syrup,1,0.88,2.43,0.95
tabby,1,0.78,1.95,0.91
tabes,0,0.085,0.09,0.14
tabet,0,0.108,0.23,0.14
tabic,0,0.122,0.25,0.16
tabid,0,0.085,0.15,0.12
tabla,0,0.348,0.95,0.38
table,1,0.995,3.0,0.99
tabog,0,0.065,0.12,0.09
taboo,1,0.872,2.38,0.95
tabor,0,0.247,0.67,0.27
tabut,0,0.21,0.6,0.22
tache,0,0.15,0.36,0.18
tacit,1,0.488,1.34,0.53
tacky,1,0.845,2.25,0.94
tacso,0,0.298,0.92,0.29
taffy,1,0.787,1.96,0.92
tafia,0,0.097,0.22,0.12
taggy,0,0.52,1.59,0.51
tagua,0,0.095,0.24,0.11
tahil,0,0.095,0.18,0.13
tahin,0,0.328,1.13,0.28
tahua,0,0.092,0.16,0.13
taich,0,0.13,0.33,0.15
taiga,0,0.385,1.11,0.4
taily,0,0.138,0.26,0.19
taint,1,0.752,1.87,0.88
taipo,0,0.233,0.65,0.25
tairn,0,0.135,0.3,0.17
taise,0,0.148,0.38,0.17
takar,0,0.105,0.21,0.14
taken,1,0.992,2.98,0.99
taker,1,0.873,2.45,0.93
takin,0,0.267,0.61,0.33
takyr,0,0.053,0.08,0.08
talak,0,0.098,0.2,0.13
talao,0,0.085,0.15,0.12
talar,0,0.155,0.3,0.21
taled,0,0.258,0.74,0.27
taler,0,0.257,0.46,0.36
tales,0,0.943,2.72,0.98
talis,0,0.222,0.58,0.25
talky,0,0.723,1.94,0.8
tally,1,0.833,2.18,0.94
talma,0,0.12,0.21,0.17
talon,1,0.732,1.78,0.87
taluk,0,0.067,0.1,0.1
talus,0,0.267,0.61,0.33
tamas,0,0.103,0.2,0.14
tambo,0,0.258,0.77,0.26
tamer,1,0.778,1.97,0.9
tamis,0,0.12,0.24,0.16
tammy,0,0.785,1.98,0.91
tanak,0,0.16,0.36,0.2
tanan,0,0.133,0.32,0.16
tanga,0,0.48,1.47,0.47
tangi,0,0.232,0.64,0.25
tango,1,0.807,2.05,0.93
tangs,0,0.647,1.78,0.7
tangy,1,0.817,2.14,0.92
tanha,0,0.09,0.15,0.13
tania,0,0.432,1.06,0.51
tanka,0,0.222,0.76,0.19
tanoa,0,0.095,0.15,0.14
tansy,0,0.287,0.79,0.31
tanti,0,0.195,0.51,0.22
tanzy,0,0.152,0.31,0.2
tapas,0,0.567,1.57,0.61
tapen,0,0.552,1.51,0.6
taper,1,0.8,2.04,0.92
tapet,0,0.31,0.57,0.43
tapia,0,0.14,0.36,0.16
tapir,1,0.397,1.0,0.46
tapis,0,0.247,0.64,0.28
tapoa,0,0.1,0.18,0.14
tappa,0,0.245,0.63,0.28
tapul,0,0.107,0.22,0.14
taqua,0,0.227,0.58,0.26
taraf,0,0.065,0.09,0.1
tarau,0,0.103,0.26,0.12
tardy,1,0.837,2.23,0.93
tarea,0,0.275,0.72,0.31
tarfa,0,0.08,0.15,0.11
targe,0,0.457,0.94,0.6
tarie,0,0.145,0.33,0.18
tarin,0,0.19,0.51,0.21
taroc,0,0.5,1.23,0.59
tarok,0,0.257,0.7,0.28
tarot,1,0.625,1.44,0.77
tarri,0,0.238,0.5,0.31
tarry,0,0.515,1.29,0.6
tarse,0,0.195,0.45,0.24
tarsi,0,0.18,0.42,0.22
tarve,0,0.14,0.39,0.15
tasco,0,0.105,0.18,0.15
tasse,0,0.303,0.83,0.33
taste,1,0.995,3.0,0.99
tasty,1,0.98,2.94,0.98
tater,0,0.762,1.99,0.86
tatie,0,0.318,0.74,0.39
tatou,0,0.18,0.36,0.24
tatta,0,0.155,0.36,0.19
tatty,1,0.593,1.49,0.69
taula,0,0.123,0.26,0.16
taunt,1,0.757,1.93,0.87
taupe,0,0.558,1.46,0.63
taupo,0,0.197,0.52,0.22
taver,0,0.3,0.63,0.39
tawer,0,0.208,0.47,0.26
tawie,0,0.123,0.29,0.15
tawny,1,0.648,1.55,0.78
tawpi,0,0.078,0.17,0.1
tawse,0,0.102,0.13,0.16
taxed,0,0.937,2.71,0.97
taxer,0,0.35,0.78,0.44
taxis,0,0.96,2.85,0.97
taxon,0,0.14,0.33,0.17
taxor,0,0.175,0.36,0.23
tayer,0,0.275,0.54,0.37
tayir,0,0.068,0.11,0.1
tayra,0,0.13,0.33,0.15
tazia,0,0.09,0.18,0.12
tchai,0,0.29,0.87,0.29
teach,1,0.995,3.0,0.99
teaer,0,0.173,0.41,0.21
teaey,0,0.083,0.2,0.1
teart,0,0.243,0.5,0.32
teary,1,0.868,2.36,0.95
tease,1,0.927,2.65,0.97
teasy,0,0.202,0.49,0.24
teaty,0,0.187,0.4,0.24
teave,0,0.147,0.43,0.15
teaze,0,0.28,0.54,0.38
techy,0,0.567,1.63,0.59
tecon,0,0.062,0.07,0.1
tecum,0,0.163,0.35,0.21
teddy,1,0.88,2.37,0.97
tedge,0,0.35,0.9,0.4
teems,0,0.635,1.62,0.73
teens,0,0.97,2.88,0.98
teeny,0,0.783,1.97,0.91
teest,0,0.207,0.52,0.24
teeth,1,0.993,2.99,0.99
teety,0,0.143,0.32,0.18
tegua,0,0.097,0.25,0.11
teind,0,0.092,0.16,0.13
tejon,0,0.185,0.57,0.18
tekke,0,0.073,0.14,0.1
tekya,0,0.068,0.11,0.1
telar,0,0.09,0.15,0.13
telic,0,0.145,0.33,0.18
tellt,0,0.198,0.47,0.24
telyn,0,0.118,0.23,0.16
teman,0,0.232,0.76,0.21
tembe,0,0.11,0.3,0.12
temin,0,0.128,0.29,0.16
tempi,0,0.502,1.33,0.56
tempo,1,0.788,2.09,0.88
tempt,0,0.907,2.53,0.97
temse,0,0.205,0.72,0.17
tenai,0,0.078,0.14,0.11
tench,0,0.305,0.81,0.34
tenet,1,0.573,1.52,0.64
tengu,0,0.082,0.22,0.09
tenio,0,0.105,0.21,0.14
tenne,0,0.227,0.49,0.29
tenon,0,0.223,0.56,0.26
tenor,1,0.665,1.62,0.79
tense,1,0.95,2.76,0.98
tenth,1,0.9,2.49,0.97
tenty,0,0.982,2.92,0.99
tepal,0,0.142,0.28,0.19
tepee,1,0.643,1.55,0.77
tepid,1,0.625,1.59,0.72
tepor,0,0.148,0.38,0.17
terap,0,0.127,0.31,0.15
teras,0,0.242,0.61,0.28
terek,0,0.092,0.16,0.13
tereu,0,0.087,0.22,0.1
terma,0,0.32,0.87,0.35
terna,0,0.24,0.63,0.27
terne,0,0.19,0.48,0.22
terra,1,0.602,1.6,0.67
terry,0,0.838,2.15,0.96
terse,1,0.61,1.59,0.69
terzo,0,0.132,0.28,0.17
testa,0,0.213,0.53,0.25
teste,0,0.512,1.51,0.52
testy,1,0.713,1.79,0.83
tetch,0,0.108,0.23,0.14
tetel,0,0.09,0.18,0.12
tetra,0,0.453,1.25,0.49
tewel,0,0.197,0.55,0.21
tewer,0,0.15,0.36,0.18
tewit,0,0.107,0.16,0.16
tewly,0,0.098,0.2,0.13
thack,0,0.393,1.04,0.44
thana,0,0.273,0.71,0.31
thane,0,0.202,0.55,0.22
thank,1,0.988,2.96,0.99
tharf,0,0.09,0.18,0.12
tharm,0,0.115,0.24,0.15
thatn,0,0.123,0.35,0.13
thats,0,0.867,2.56,0.88
thave,0,0.117,0.25,0.15
thawn,0,0.16,0.33,0.21
thawy,0,0.227,0.49,0.29
theah,0,0.093,0.2,0.12
theat,0,0.305,0.75,0.36
theca,0,0.107,0.19,0.15
theek,0,0.123,0.29,0.15
theer,0,0.112,0.22,0.15
theet,0,0.14,0.27,0.19
theft,1,0.888,2.39,0.98
thegn,0,0.067,0.07,0.11
their,1,0.988,2.99,0.98
thema,0,0.667,1.69,0.77
theme,1,0.917,2.59,0.97
theow,0,0.083,0.11,0.13
there,1,0.993,2.99,0.99
therm,0,0.387,1.06,0.42
these,1,0.993,2.99,0.99
theta,1,0.523,1.22,0.64
thewy,0,0.108,0.17,0.16
thick,1,0.988,2.99,0.98
thief,1,0.928,2.63,0.98
thigh,1,0.883,2.42,0.96
thilk,0,0.098,0.14,0.15
thill,0,0.21,0.54,0.24
thine,0,0.488,1.04,0.63
thing,1,0.992,2.98,0.99
think,1,0.995,3.0,0.99
thiol,0,0.09,0.15,0.13
third,1,0.963,2.84,0.98
thirl,0,0.27,0.48,0.38
thirt,0,0.187,0.43,0.23
thisn,0,0.123,0.29,0.15
thoft,0,0.122,0.28,0.15
thoke,0,0.092,0.22,0.11
thole,0,0.392,0.94,0.47
tholi,0,0.082,0.16,0.11
thone,0,0.152,0.28,0.21
thong,1,0.807,2.08,0.92
thoom,0,0.285,0.78,0.31
thore,0,0.198,0.5,0.23
